mbrt_images;mbrt_side;mbrt_view;mbrt_angle;mbrt_limb;mbrt_correct_both;mbrt_correct_one
right_leg_back.png;right;back;0;leg;l;h
right_leg_back.png;right;back;90;leg;l;h
right_leg_back.png;right;back;180;leg;l;h
right_leg_back.png;right;back;270;leg;l;h
left_leg_back.png;left;back;0;leg;s;g
left_leg_back.png;left;back;90;leg;s;g
left_leg_back.png;left;back;180;leg;s;g
left_leg_back.png;left;back;270;leg;s;g
right_leg_front.png;right;front;0;leg;l;h
right_leg_front.png;right;front;90;leg;l;h
right_leg_front.png;right;front;180;leg;l;h
right_leg_front.png;right;front;270;leg;l;h
left_leg_front.png;left;front;0;leg;s;g
left_leg_front.png;left;front;90;leg;s;g
left_leg_front.png;left;front;180;leg;s;g
left_leg_front.png;left;front;270;leg;s;g
right_arm_back.png;right;back;0;arm;l;h
right_arm_back.png;right;back;90;arm;l;h
right_arm_back.png;right;back;180;arm;l;h
right_arm_back.png;right;back;270;arm;l;h
left_arm_back.png;left;back;0;arm;s;g
left_arm_back.png;left;back;90;arm;s;g
left_arm_back.png;left;back;180;arm;s;g
left_arm_back.png;left;back;270;arm;s;g
right_arm_front.png;right;front;0;arm;l;h
right_arm_front.png;right;front;90;arm;l;h
right_arm_front.png;right;front;180;arm;l;h
right_arm_front.png;right;front;270;arm;l;h
left_arm_front.png;left;front;0;arm;s;g
left_arm_front.png;left;front;90;arm;s;g
left_arm_front.png;left;front;180;arm;s;g
left_arm_front.png;left;front;270;arm;s;g
